PTP_TERR;CAPITAL;TAMANO_FAM;PTP_PERIO;PTP_AENC;PTP_SEXO;ESTADO_CIVIL;PTP_LUNAC1;PTP_EDAD1_;NIVEL_INSTRUC;RELA_ACT;PROFESION;PTP_DIASE1;PTP_TJORN;PTP_THORA;PTP_TIEMP;PTP_EXCEP;PARENTESCO;TIP_NUCL_FAM;ACTP1_1;ACTP1_2;ACTP1_3;ACTP1_4;ACTP1_5;ACTP1_6;ACTP1_7;ACTP1_8;ACTP2_11;ACTP2_12;ACTP2_13;ACTP2_14;ACTP2_15;ACTP2_16;ACTP2_17;ACTP2_21;ACTP2_22;ACTP2_23;ACTP2_24;ACTP2_25;ACTP2_26;ACTP2_31;ACTP2_32;ACTP2_33;ACTP2_34;ACTP2_35;ACTP2_36;ACTP2_37;ACTP2_41;ACTP2_42;ACTP2_43;ACTP2_51;ACTP2_52;ACTP2_53;ACTP2_54;ACTP2_61;ACTP2_62;ACTP2_71;ACTP2_72;ACTP2_73;ACTP2_74;ACTP2_81;ACTP2_82;ACTP2_83;ACTP2_84;ACTP1xLUGAR1_11;ACTP1xLUGAR1_12;ACTP1xLUGAR1_13;ACTP1xLUGAR1_14;ACTP1xLUGAR1_15;ACTP1xLUGAR1_16;ACTP1xLUGAR1_17;ACTP1xLUGAR1_21;ACTP1xLUGAR1_22;ACTP1xLUGAR1_23;ACTP1xLUGAR1_24;ACTP1xLUGAR1_25;ACTP1xLUGAR1_26;ACTP1xLUGAR1_27;ACTP1xLUGAR1_31;ACTP1xLUGAR1_32;ACTP1xLUGAR1_33;ACTP1xLUGAR1_34;ACTP1xLUGAR1_35;ACTP1xLUGAR1_36;ACTP1xLUGAR1_37;ACTP1xLUGAR1_41;ACTP1xLUGAR1_42;ACTP1xLUGAR1_43;ACTP1xLUGAR1_44;ACTP1xLUGAR1_45;ACTP1xLUGAR1_46;ACTP1xLUGAR1_47;ACTP1xLUGAR1_51;ACTP1xLUGAR1_52;ACTP1xLUGAR1_53;ACTP1xLUGAR1_54;ACTP1xLUGAR1_55;ACTP1xLUGAR1_56;ACTP1xLUGAR1_57;ACTP1xLUGAR1_61;ACTP1xLUGAR1_62;ACTP1xLUGAR1_63;ACTP1xLUGAR1_64;ACTP1xLUGAR1_65;ACTP1xLUGAR1_66;ACTP1xLUGAR1_67;ACTP1xLUGAR1_71;ACTP1xLUGAR1_72;ACTP1xLUGAR1_73;ACTP1xLUGAR1_74;ACTP1xLUGAR1_75;ACTP1xLUGAR1_76;ACTP1xLUGAR1_77;ACTP1xLUGAR1_81;ACTP1xLUGAR1_82;ACTP1xLUGAR1_83;ACTP1xLUGAR1_84;ACTP1xLUGAR1_85;ACTP1xLUGAR1_86;ACTP1xLUGAR1_87;PONDERACION
01;;3;1;1997;1;2;1;04;1;3;6;2;0;0;2;;1;;36900;0;38700;4500;0;0;5400;0;28800;900;0;7200;0;0;0;0;0;0;0;0;0;0;0;0;19800;3600;0;15300;0;0;4500;0;0;0;0;0;0;5400;0;0;0;0;0;0;0;36900;0;0;0;0;0;0;0;0;0;0;0;0;0;19800;0;18900;0;0;0;0;4500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;428.100
01;;3;1;1997;2;2;1;03;1;3;0;5;0;0;2;;2;;38100;0;22200;12600;0;7200;6300;0;29700;3300;0;5100;0;0;0;0;0;0;0;0;0;7200;7800;5400;0;1800;0;0;12600;0;0;0;0;0;0;0;7200;6300;0;0;0;0;0;0;0;38100;0;0;0;0;0;0;0;0;0;0;0;0;0;20400;0;1800;0;0;0;0;12600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7200;0;0;0;0;6300;0;0;0;0;0;0;0;0;0;0;0;0;0;88.100
01;;2;1;1997;1;2;4;04;1;3;6;6;0;0;2;;1;;39600;0;0;0;0;17100;24300;5400;34200;900;0;4500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6300;10800;11700;1800;0;10800;0;0;5400;0;39600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17100;0;0;0;0;24300;0;0;0;0;0;0;0;0;5400;0;0;0;0;65.700
01;;2;1;1997;2;2;4;03;1;3;0;7;0;0;2;;2;;37800;0;27000;0;0;7200;14400;0;32400;900;0;4500;0;0;0;0;0;0;0;0;0;13500;11700;0;0;1800;0;0;0;0;0;0;0;0;0;0;7200;14400;0;0;0;0;0;0;0;37800;0;0;0;0;0;0;0;0;0;0;0;0;0;25200;0;0;0;0;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7200;0;0;0;0;14400;0;0;0;0;0;0;0;0;0;0;0;0;0;119.100
01;;3;1;1997;2;2;4;03;2;3;4;3;0;0;2;;2;;40500;4500;12600;5400;2700;7200;5400;8100;30600;2100;0;4200;3600;0;0;0;0;0;0;4500;0;5700;4500;1200;0;900;0;300;3600;1800;0;0;0;0;2700;0;7200;5400;0;0;0;0;3600;4500;0;36900;0;0;0;0;3600;0;0;4500;0;0;0;0;0;11700;0;900;0;0;0;0;5400;0;0;0;0;0;0;0;2700;0;0;0;0;0;0;0;7200;0;0;0;0;2700;0;0;2700;0;0;0;0;0;8100;0;0;0;0;1032.000
01;;3;1;1997;1;2;4;03;1;3;6;5;0;0;4;;1;;46800;0;0;0;24900;4500;8100;2100;31500;1500;5100;2100;6600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20100;4800;0;0;0;4500;8100;0;0;0;0;0;2100;0;36000;0;0;5400;0;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4800;0;0;20100;0;0;0;0;0;4500;0;0;0;0;8100;0;0;0;0;0;0;0;0;2100;0;0;0;0;235.700
01;;3;1;1997;1;2;3;02;3;1;1;6;2;1;3;;1;;44400;0;10500;18900;0;0;2700;9900;33600;600;0;7500;2700;0;0;0;0;0;0;0;0;2400;0;900;0;7200;0;0;16200;2700;0;0;0;0;0;0;0;2700;0;0;0;0;0;9900;0;41700;0;0;0;0;2700;0;0;0;0;0;0;0;0;3300;0;7200;0;0;0;0;9900;0;9000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2700;0;0;0;0;0;0;0;0;1800;0;0;8100;0;105.800
01;;2;1;1997;2;2;1;04;1;3;6;7;0;0;3;;2;;45000;0;13500;0;9900;0;14400;3600;33300;5400;0;6300;0;0;0;0;0;0;0;0;0;8400;3600;0;0;1500;0;0;0;0;0;0;7200;2700;0;0;0;14400;0;0;0;0;0;3600;0;45000;0;0;0;0;0;0;0;0;0;0;0;0;0;12000;0;1500;0;0;0;0;0;0;0;0;0;0;0;7200;0;0;2700;0;0;0;0;0;0;0;0;0;0;14400;0;0;0;0;0;0;0;0;3600;0;0;0;0;66.100
01;;2;1;1997;1;1;1;04;1;3;5;4;0;0;3;;1;;45000;0;10800;0;0;14400;16200;0;35100;3600;0;6300;0;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;7200;0;0;0;0;0;0;0;0;14400;16200;0;0;0;0;0;0;0;45000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14400;0;0;0;0;16200;0;0;0;0;0;0;0;0;0;0;0;0;0;313.300
01;;3;1;1997;1;2;1;03;2;1;6;5;1;3;2;;1;;32400;37200;900;3600;1200;0;6900;4200;25200;2400;0;3900;900;0;0;37200;0;0;0;0;0;900;0;0;0;0;0;0;2100;1500;0;600;600;0;0;0;0;6900;0;0;0;1500;0;2700;0;29700;0;0;0;0;2700;0;0;37200;0;0;0;0;0;900;0;0;0;0;0;0;3600;0;0;0;0;0;0;600;0;0;0;0;600;0;0;0;0;0;0;0;0;6000;0;0;0;0;900;0;0;0;4200;0;0;0;0;170.700
