PTP_TERR;CAPITAL;TAMANO_FAM;PTP_PERIO;PTP_AENC;PTP_SEXO;ESTADO_CIVIL;PTP_LUNAC1;PTP_EDAD1_;NIVEL_INSTRUC;RELA_ACT;PROFESION;PTP_DIASE1;PTP_TJORN;PTP_THORA;PTP_TIEMP;PTP_EXCEP;PARENTESCO;TIP_NUCL_FAM;ACTP1_1;ACTP1_2;ACTP1_3;ACTP1_4;ACTP1_5;ACTP1_6;ACTP1_7;ACTP1_8;ACTP2B_11;ACTP2B_12;ACTP2B_13;ACTP2B_14;ACTP2B_15;ACTP2B_16;ACTP2B_17;ACTP2B_21;ACTP2B_22;ACTP2B_23;ACTP2B_24;ACTP2B_25;ACTP2B_26;ACTP2B_31;ACTP2B_32;ACTP2B_33;ACTP2B_34;ACTP2B_35;ACTP2B_36;ACTP2B_37;ACTP2B_41;ACTP2B_42;ACTP2B_43;ACTP2B_51;ACTP2B_52;ACTP2B_53;ACTP2B_54;ACTP2B_55;ACTP2B_56;ACTP2B_57;ACTP2B_61;ACTP2B_62;ACTP2B_63;ACTP2B_64;ACTP2B_71;ACTP2B_72;ACTP2B_73;ACTP2B_74;ACTP2B_75;ACTP2B_80;ACTP2B_81;ACTP2B_82;ACTP2B_83;ACTP2B_84;ACTP2B_85;ACTP2B_86;ACTP2B_87;ACTP2B_88;ACTP2B_89;ACTP1xLUGAR1_11;ACTP1xLUGAR1_12;ACTP1xLUGAR1_13;ACTP1xLUGAR1_14;ACTP1xLUGAR1_15;ACTP1xLUGAR1_16;ACTP1xLUGAR1_17;ACTP1xLUGAR1_21;ACTP1xLUGAR1_22;ACTP1xLUGAR1_23;ACTP1xLUGAR1_24;ACTP1xLUGAR1_25;ACTP1xLUGAR1_26;ACTP1xLUGAR1_27;ACTP1xLUGAR1_31;ACTP1xLUGAR1_32;ACTP1xLUGAR1_33;ACTP1xLUGAR1_34;ACTP1xLUGAR1_35;ACTP1xLUGAR1_36;ACTP1xLUGAR1_37;ACTP1xLUGAR1_41;ACTP1xLUGAR1_42;ACTP1xLUGAR1_43;ACTP1xLUGAR1_44;ACTP1xLUGAR1_45;ACTP1xLUGAR1_46;ACTP1xLUGAR1_47;ACTP1xLUGAR1_51;ACTP1xLUGAR1_52;ACTP1xLUGAR1_53;ACTP1xLUGAR1_54;ACTP1xLUGAR1_55;ACTP1xLUGAR1_56;ACTP1xLUGAR1_57;ACTP1xLUGAR1_61;ACTP1xLUGAR1_62;ACTP1xLUGAR1_63;ACTP1xLUGAR1_64;ACTP1xLUGAR1_65;ACTP1xLUGAR1_66;ACTP1xLUGAR1_67;ACTP1xLUGAR1_71;ACTP1xLUGAR1_72;ACTP1xLUGAR1_73;ACTP1xLUGAR1_74;ACTP1xLUGAR1_75;ACTP1xLUGAR1_76;ACTP1xLUGAR1_77;ACTP1xLUGAR1_81;ACTP1xLUGAR1_82;ACTP1xLUGAR1_83;ACTP1xLUGAR1_84;ACTP1xLUGAR1_85;ACTP1xLUGAR1_86;ACTP1xLUGAR1_87;PONDERACION
01;059;1;1;2018;6;3;1;04;1;3;0;6;0;0;2;4;1;1;58800;0;6300;0;0;10800;9000;1500;44100;4500;0;6600;3600;0;0;0;0;0;0;0;0;6300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10800;0;0;9000;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;55200;0;0;0;0;3600;0;0;0;0;0;0;0;0;6300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10800;0;0;0;0;9000;0;0;0;0;0;0;0;0;1500;0;0;0;0;95,621
01;059;2;1;2018;1;2;4;04;1;3;6;5;0;0;3;4;1;3;45900;0;1800;0;5400;8100;22500;2700;35700;3900;0;6300;0;0;0;0;0;0;0;0;0;1800;0;0;0;0;0;0;0;0;0;5400;0;0;0;0;0;0;0;8100;0;0;22500;0;0;0;0;0;0;0;0;0;0;0;900;1800;0;45900;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5400;0;0;0;8100;0;0;0;0;22500;0;0;0;0;0;0;0;0;2700;0;0;0;0;152,406
01;059;3;1;2018;1;1;1;01;2;3;0;5;0;0;2;4;3;2;42000;0;0;0;0;29400;14400;600;32100;2100;0;2400;0;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10800;3600;15000;14400;0;0;0;0;0;0;0;0;0;0;0;0;600;0;42000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18600;0;10800;0;0;0;0;14400;0;0;0;0;0;0;0;0;600;0;0;0;0;200,781
01;059;2;1;2018;1;2;4;04;2;1;6;7;3;1;1;4;1;3;53100;0;3900;0;9000;1800;3600;15000;34500;3300;0;5100;10200;0;0;0;0;0;0;0;0;0;0;0;0;3900;0;0;0;0;0;8100;900;0;0;0;0;0;0;1800;0;0;3600;0;0;0;0;0;0;0;3300;0;0;900;6600;4200;0;42900;0;1500;0;0;8700;0;0;0;0;0;0;0;0;0;0;0;3900;0;0;0;0;0;0;0;0;0;0;8100;0;0;900;0;0;0;0;0;1800;0;0;0;0;3600;0;0;0;0;0;0;0;0;15000;0;0;0;0;132,601
01;059;2;1;2018;6;2;4;04;2;3;8;7;0;0;1;4;2;3;48900;0;18000;0;0;0;5100;14400;38100;1800;0;1800;7200;0;0;0;0;0;0;0;0;1800;7200;3600;0;0;0;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5100;0;0;0;0;0;0;0;0;0;0;0;0;12600;1800;9300;0;0;0;0;0;39600;0;0;0;0;0;0;0;10800;0;0;0;0;0;7200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;0;0;3600;0;0;12600;0;0;1800;0;122,431
01;059;2;1;2018;1;2;4;04;1;3;4;6;0;0;3;4;1;3;49500;0;2700;0;0;9000;21900;3300;28800;3900;0;7200;9600;0;0;0;0;0;0;0;0;2700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9000;0;0;21900;0;0;0;0;0;0;0;0;0;0;0;1200;2100;0;39900;0;0;0;0;9600;0;0;0;0;0;0;0;0;2700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9000;0;0;0;0;21900;0;0;0;0;0;0;0;0;3300;0;0;0;0;144,772
01;059;2;1;2018;1;2;4;04;1;3;4;4;0;0;1;4;1;3;49800;0;3600;0;0;7200;24600;1200;38700;2100;0;9000;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7200;0;0;24600;0;0;0;0;0;0;0;0;0;0;0;0;1200;0;49800;0;0;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7200;0;0;0;0;24600;0;0;0;0;0;0;0;0;1200;0;0;0;0;538,357
01;059;3;1;2018;1;2;1;03;2;1;2;5;1;3;3;4;4;5;32700;30000;1200;0;600;8400;5400;8100;22500;6900;0;3300;0;0;0;30000;0;0;0;0;0;1200;0;0;0;0;0;0;0;0;0;0;600;0;0;0;0;0;5100;0;0;3300;5400;0;0;0;0;1800;0;0;3300;0;0;0;0;3000;0;32700;0;0;0;0;0;0;0;30000;0;0;0;0;0;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;600;0;0;0;0;0;0;3300;0;0;0;5100;0;0;5400;0;0;0;0;0;0;0;0;8100;0;0;0;0;130,918
01;059;3;1;2018;1;2;4;03;2;1;7;3;1;3;4;4;1;5;42300;28800;0;0;0;0;12000;3300;27600;7200;0;3900;3600;0;0;28800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12000;0;0;0;0;1200;0;0;600;0;0;0;0;1500;0;34200;4500;0;0;0;3600;0;0;28800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12000;0;0;0;0;0;0;0;0;3300;0;0;0;0;618,628
01;059;3;1;2018;1;1;1;02;3;1;2;7;3;1;3;4;3;2;55800;0;3900;0;0;19800;6900;0;37200;8100;0;10500;0;0;0;0;0;0;0;0;0;0;3900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12300;7500;0;0;6900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55800;0;0;0;0;0;0;0;0;0;0;0;0;0;3900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19800;0;0;0;0;6900;0;0;0;0;0;0;0;0;0;0;0;0;0;186,026
